Link,Judul,Harga,Deskripsi
https://www.airbnb.com/rooms/51353987?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=142bf0bb-8bf4-40fb-988a-0e2ef8a5cf66,Cozy 1-Bedroom Apartment @Thamrin Residence,$26,2 guests · 1 bedroom · 1 bed · 1.5 baths
https://www.airbnb.com/rooms/3326284?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=142bf0bb-8bf4-40fb-988a-0e2ef8a5cf66,Rumah Miring  by CGartspace - Pondok Indah Jakarta,$514,5 guests · 2 bedrooms · 2 beds · 3 baths
https://www.airbnb.com/rooms/36118002?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=142bf0bb-8bf4-40fb-988a-0e2ef8a5cf66,All New 1BR Apartment at The Accent Bintaro,$31,2 guests · 1 bedroom · 1 bed · 1 bath
https://www.airbnb.com/rooms/22619382?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=142bf0bb-8bf4-40fb-988a-0e2ef8a5cf66,"TreePark Apartment, New cozy room, Great location",$21,2 guests · 1 bedroom · 1 bed · 1 bath
https://www.airbnb.com/rooms/51716340?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=142bf0bb-8bf4-40fb-988a-0e2ef8a5cf66,Japanese Cozy Style Studio at Bintaro Embarcadero,$31,2 guests · Studio · 1 bed · 1 bath
https://www.airbnb.com/rooms/15664849?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=142bf0bb-8bf4-40fb-988a-0e2ef8a5cf66,Apartment Tree Park BSD 2101,$21,3 guests · 1 bedroom · 1 bed · 1 bath
https://www.airbnb.com/rooms/44270338?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=142bf0bb-8bf4-40fb-988a-0e2ef8a5cf66,emerald  Bintaro by selvy 1,$19,2 guests · Studio · 1 bath
https://www.airbnb.com/rooms/51832356?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=142bf0bb-8bf4-40fb-988a-0e2ef8a5cf66,Warm and Comfy Japanese Studio @ The Heart of City,$40,3 guests · Studio · 2 beds · 1 bath
https://www.airbnb.com/rooms/45823600?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=142bf0bb-8bf4-40fb-988a-0e2ef8a5cf66,Studio Apartment at Bintaro Plaza,$24,2 guests · Studio · 1 bed · 1 bath
https://www.airbnb.com/rooms/45081351?adults=1&check_in=2021-11-01&check_out=2021-11-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=142bf0bb-8bf4-40fb-988a-0e2ef8a5cf66,Homey Bintaro Icon Studio Deluxe,$29,2 guests · 1 bedroom · 0 beds · 1 bath
